City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Otradnoye,100,RU,1650816859,78,59.7775,30.8181,48.87,9.62
1,Castro,39,BR,1650816887,61,-24.7911,-50.0119,75.45,2.26
2,Tommot,100,RU,1650816888,96,58.9564,126.2925,23.79,1.07
3,Mataura,100,NZ,1650816888,89,-46.1927,168.8643,52.48,6.11
4,Vardø,100,NO,1650816888,89,70.3705,31.1107,37.65,11.32
5,Taoudenni,0,ML,1650816889,14,22.6783,-3.9836,93.49,16.24
6,Hobart,75,AU,1650816889,89,-42.8794,147.3294,56.26,5.75
7,George Town,40,MY,1650816678,84,5.4112,100.3354,84.13,0.0
8,Heraclea,10,TR,1650816890,23,37.5133,34.0467,74.17,3.62
9,Skjervøy,100,NO,1650816890,96,70.0311,20.9714,39.2,1.57
10,Naze,42,JP,1650816890,91,28.3667,129.4833,70.0,7.63
11,Bengkulu,69,ID,1650816891,87,-3.8004,102.2655,77.97,3.0
12,Rikitea,100,PF,1650816891,79,-23.1203,-134.9692,74.25,8.72
13,Vaini,75,TO,1650816891,100,-21.2,-175.2,69.96,0.0
14,Hilo,75,US,1650816892,91,19.7297,-155.09,74.28,9.22
15,Ilulissat,75,GL,1650816892,69,69.2167,-51.1,32.02,0.0
16,Ushuaia,75,AR,1650816892,65,-54.8,-68.3,42.46,11.5
17,Albany,92,US,1650816727,36,42.6001,-73.9662,62.06,4.0
18,Atuona,34,PF,1650816893,72,-9.8,-139.0333,78.78,20.0
19,Suntar,100,RU,1650816893,93,62.1444,117.6319,25.56,3.02
20,Punta Arenas,75,CL,1650816844,87,-53.15,-70.9167,42.91,4.61
21,Port Elizabeth,0,ZA,1650816894,77,-33.918,25.5701,61.11,13.8
22,Ciudad del Carmen,0,MX,1650816765,58,18.6333,-91.8333,86.04,18.41
23,Jalu,0,LY,1650816894,11,29.0331,21.5482,90.9,5.17
24,Korla,66,CN,1650816894,22,41.7597,86.1469,72.48,9.31
25,Fairbanks,0,US,1650816632,73,64.8378,-147.7164,38.25,0.0
26,East London,0,ZA,1650816895,82,-33.0153,27.9116,63.54,12.66
27,Torbay,100,CA,1650816895,95,47.6666,-52.7314,39.27,4.0
28,Homer,0,US,1650816896,93,59.6425,-151.5483,40.05,0.0
29,Krasnokamensk,33,RU,1650816896,27,50.0979,118.0369,34.39,3.4
30,Honiara,64,SB,1650816631,85,-9.4333,159.95,77.2,3.89
31,Arraial do Cabo,40,BR,1650816896,65,-22.9661,-42.0278,82.26,11.5
32,Namatanai,31,PG,1650816897,77,-3.6667,152.4333,78.91,5.57
33,Kupang,12,ID,1650816897,80,-10.1667,123.5833,77.04,7.4
34,Lompoc,0,US,1650816828,69,34.6391,-120.4579,70.93,4.0
35,Lapua,49,FI,1650816898,58,62.9693,23.0088,51.35,4.81
36,Kapaa,75,US,1650816898,86,22.0752,-159.319,75.18,21.85
37,Upernavik,54,GL,1650816692,80,72.7868,-56.1549,9.01,10.63
38,Kandiaro,39,PK,1650816899,10,27.0601,68.2091,97.52,5.35
39,Puerto Ayora,32,EC,1650816899,78,-0.7393,-90.3518,75.16,9.33
40,Qaanaaq,20,GL,1650816899,71,77.484,-69.3632,6.13,7.56
41,Bethel,0,US,1650816900,42,41.3712,-73.414,66.02,12.66
42,Acaraú,46,BR,1650816900,69,-2.8856,-40.12,83.62,6.69
43,Scarborough,53,GB,1650816900,85,54.2797,-0.4044,51.37,5.01
44,Hithadhoo,93,MV,1650816901,72,-0.6,73.0833,84.67,9.71
45,Hermanus,13,ZA,1650816901,80,-34.4187,19.2345,59.81,8.19
46,Zhigansk,25,RU,1650816732,97,66.7697,123.3711,2.16,6.02
47,Maragogi,91,BR,1650816902,64,-9.0122,-35.2225,83.52,9.66
48,Saint-Philippe,99,RE,1650816902,80,-21.3585,55.7679,76.59,16.37
49,Norman Wells,89,CA,1650816903,95,65.282,-126.8329,33.28,3.87
50,New Norfolk,66,AU,1650816903,84,-42.7826,147.0587,55.92,1.59
51,Sioux Lookout,100,CA,1650816730,100,50.1001,-91.917,41.07,8.05
52,Caconda,83,AO,1650816677,63,-13.7333,15.0667,68.95,4.83
53,San Andrés,40,CO,1650816904,78,12.5847,-81.7006,82.42,11.5
54,Port Lincoln,100,AU,1650816904,79,-34.7333,135.8667,65.91,5.14
55,Sakakah,89,SA,1650816904,35,29.9697,40.2064,74.41,14.5
56,Abdulino,99,RU,1650816905,66,53.7,53.6667,53.24,4.29
57,Koboko,93,UG,1650816905,91,3.4136,30.9599,67.19,7.99
58,Iqaluit,100,CA,1650816906,85,63.7506,-68.5145,22.73,11.5
59,Ponta do Sol,21,PT,1650816906,59,32.6667,-17.1,70.0,7.58
60,Cherskiy,86,RU,1650816907,100,68.75,161.3,-4.52,5.37
61,Kaitangata,99,NZ,1650816907,83,-46.2817,169.8464,52.32,11.63
62,Lorengau,59,PG,1650816907,83,-2.0226,147.2712,80.42,5.75
63,Busselton,100,AU,1650816908,51,-33.65,115.3333,63.82,9.84
64,Ulaanbaatar,75,MN,1650816908,24,47.9077,106.8832,44.73,6.71
65,Ciudad Bolivar,26,VE,1650816909,39,8.1222,-63.5497,93.36,9.33
66,Fomboni,85,KM,1650816909,77,-12.28,43.7425,82.63,12.73
67,Avarua,75,CK,1650816909,88,-21.2078,-159.775,77.05,13.8
68,Longyearbyen,20,SJ,1650816782,52,78.2186,15.6401,12.04,13.8
69,Turiaçu,100,BR,1650816910,79,-1.6633,-45.3717,78.51,1.61
70,Chokurdakh,83,RU,1650816910,100,70.6333,147.9167,-14.94,3.2
71,Tuzha,100,RU,1650816910,68,57.6062,47.936,51.44,6.26
72,Kodinsk,99,RU,1650816911,98,58.6881,99.1844,18.14,3.47
73,Saint Paul Harbor,100,US,1650816748,81,57.79,-152.4072,40.51,11.5
74,Gannan,88,CN,1650816912,45,47.9147,123.5031,46.67,8.1
75,Whitehorse,100,CA,1650816738,69,60.7161,-135.0538,38.1,3.0
76,Khatanga,98,RU,1650816912,100,71.9667,102.5,-7.24,3.09
77,Buraidah,96,SA,1650816912,69,26.326,43.975,69.3,30.82
78,Talnakh,55,RU,1650816913,100,69.4865,88.3972,-4.63,1.5
79,Finspång,95,SE,1650816913,40,58.7058,15.7674,47.71,9.04
80,Beringovskiy,80,RU,1650816914,97,63.05,179.3167,11.23,2.66
81,Panabá,0,MX,1650816914,39,21.2833,-88.2667,91.35,11.92
82,Shetpe,0,KZ,1650816914,30,44.1667,52.1167,66.49,8.19
83,Bluff,84,NZ,1650816915,82,-46.6,168.3333,52.81,18.48
